stronghold_id,location_id,stronghold_name,stronghold_type,control,stronghold_threshold,historical_gloss
47,8f6889082cc8d9e,Joukra,Town,Allakia,10,"Three roads come together here, travelers eager to cross the town's many bridges."
48,8f6889082cc9009,Kinchell,Town,Dinn,10,"Every morning, a fleet of fishing boats leaves Kinchell harbor to trawl Birdsbeak Bay."
49,8f6889082cc9015,Buroi Castle,Fortress,Dinn,20,This pile of sweating stone defends the coastal road to Onjo.
50,8f6889082cc9026,Onbur Watch,Fortress,Dinn,20,No force can climb the peninsula without passing Onbur Watch. It is a stone-and-steel cork in the bottle.
51,8f6889082cc905c,Tonchell Fortress,Fortress,Dinn,20,"Where the two roads south of Onjo come together, they pass beneath Tonchell's walls."
52,8f6889082cc9096,Ikachell,Town,Dinn,10,"The most southerly of the 'chells, this town is home to fishermen and farmers from the surrounding coastal plain."
53,8f6889082cc90ae,Ongul,Town,Dinn,10,"Though less than a league from Goolu Inlet, the poor terrain means few here fish for a living. Instead, they harvest wood from the nearby forests."
54,8f6889082cc90ed,Kinnawa,Town,Dinn,10,A town straddling a river. Kinnawans are known for their extreme devotion to their particular sect of Orthopraxy.
55,8f6889082cc9115,Honey Watch,Fortress,Dinn,20,"Honey Bay is sweet, but its guardians have a sting."
56,8f6889082cc9151,Munmor,Town,Dinn,10,"The last stop before the capital. Munmor is a favored vacation spot of the Sultanate's elites, away from the bustle of Lamm but close enough to hurry back in case of intrigue."
57,8f6889082cc9164,Warr's Watch,Fortress,Dinn,20,"If the Sultan's foes come by sea, Warr's Watch will warn him."
58,8f6889082cc9170,Lamm,City,Dinn,15,"Oh golden land, whose every deed is right! Jewel in the Sultan's crown: pearl-studded walls, high domes, and scholar-temples line the streets. "
59,8f6889082cc91ab,Yonn,Town,Dinn,10,"Dinn rulers used to come here to hunt the beasts of the rainforest, though the current Sultan has little interest in such things."
60,8f6889082cc91b6,Osterhold,Fortress,Dinn,20,"It looms over the road, built in an Orbost style--a reminder that the Sultan did not always rule here."
61,8f6889082cc9415,Sultan's Rock,Fortress,Dinn,20,"In the days before Onjo bent the knee to Lamm, this fortress was the foremost edge of the Sultan's lands."
62,8f6889082cc941c,Nkaa,Town,Dinn,10,"Across the ancient bridge, Nkaa stares down Sultan's Rock. These days, they are both Dinn holdings, but soldiers from the Rock still rarely mix with sailors from Nkaa."
63,8f6889082cc9451,Neruga's Gate,Fortress,Dinn,20,"The road winds through the hills east of Nkaa, and Neruga's Gate wards off all-comers."
64,8f6889082cc9489,Naku Keep,Fortress,Boonan,20,These siege-scarred walls have seen off a dozen expeditions from the north in the past generation. Many of the Free State's finest warriors cut their teeth defending Naku's battlements.
65,8f6889082cc9513,Otirr,Town,Dinn,10,"The Irr valley is good farmland, and many farmers come to Otirr for market day."
66,8f6889082cc9541,Purann,Town,Dinn,10,Any traveler headed for Lamm must pass through Purann. The town has prospered from the traffic.
67,8f6889082cc9564,Irnost,Town,Dinn,10,The long way 'round out of Lamm begins at Irnost. Why would one want to avoid inspection at Sultan's Rock? Irnost will not ask.
68,8f6889082cc9599,Jomma Keep,Fortress,Dinn,20,The foot of the winding hill-road to the west.
69,8f6889082cc9619,Birgey,Town,Dinn,10,A spur of the Irgang River is bridged here. 
70,8f6889082cc9672,Iroj Fortress,Fortress,Dinn,20,Few roads lead east from the Copper Coast. These towers guard one such path.
71,8f6889082cc96b1,Brick Bridge,Fortress,Boonan,20,"The way across the Irgang River here is as much a work of architectural art as a bridge. Yet it, too, must be guarded."
72,8f6889082cc9711,Err,Town,Dinn,10,Three roads cross the headwaters of the Goolang River here. 
73,8f6889082cc9743,Kagar,Town,Dinn,10,The Irgang River is shallow here. Many are the farmers who bring their harvest to market at Kagar.
74,8f6889082cc9764,Nkuwa Crossroads,Fortress,Dinn,20,"Bandits have been known to haunt the woods to the west. The garrison at Nkuwa Crossroads offers no consolation to their victims, but does ensure the predation spreads no farther east."
75,8f6889082cc98dc,Arrawar,Town,Dinn,10,"The stone weeps water, the wood rots where it stands. Houses on stilts to save them from the tides and storms. "
76,8f6889082cc9a02,Peiba Keep,Fortress,Dinn,20,Built where the ground begins to slope upward towards the highland forest.
77,8f6889082cc9a30,Penjey,Town,Dinn,10,The wood that the folk of Penjey harvest from the rainforest becomes new houses in Onjo.
78,8f6889082cc9a84,Oniki Crossroads,Fortress,Dinn,20,"There is only one road south from Onjo. If Oniki holds, the city stands."
79,8f6889082cc9a9e,Kinjo,Town,Dinn,10,Every year is a battle against the encroaching rainforest. How long before the outermost dwellings are engulfed?
80,8f6889082cc9aa8,Jezaiba,Town,Dinn,10,"The river Ozono flows sluggishly, as do the lives of Jezaiba's people. Perhaps this, too, is right-doing."
81,8f6889082cc9b92,Jozeg Keep,Fortress,Dinn,20,"Keep watch across the mouth of Birdsbeak Bay. That is their mission, and they hold to it."
82,8f6889082cc9b9a,Onjo,City,Dinn,15,"Its people are quite different from those of Lamm across the bay--darker, quieter, slimmer. Onjo has been the second city of Dinn since the Sultan's armies took its gates generations ago."
83,8f6889082cc9ba3,Sengar,Town,Dinn,10,Strange folk from the north trade at Sengar. They rarely come any farther south.
84,8f6889082cc9c1e,Brogesh,Town,Dinn,10,"Brogesh produces fine sailors, and its lads are famous for daring the inlet to their town even in the fiercest of gales."
85,8f6889082cc9c54,Bralos,Town,Dinn,10,"Edish Inlet comes to a point at Bralos, whose deep harbor and isolated location once made it a favorite of pirates. The Sultanate has mostly extinguished this practice."
86,8f6889082cc9c5d,Rothost,Town,Dinn,10,"Travelers taking the norther loop between Lamm and Orbost find comfort in Rothost, a quaint place known for its theater."
87,8f6889082cc9c6d,Edgal,Town,Dinn,10,"Fishermen sail Edish Inlet out of Edgal, at the dead end of the northward road."
88,8f6889082cc9c96,Argal,Town,Dinn,10,"The people of Argal claim their ancestors built Bostion's Bridge--though of course, the folk of Orbost disagree."
89,8f6889082cc9d80,Tesh Keep,Fortress,Dinn,20,"From this fortress' highest tower, a watchman can see all of Seven Pace Bay. Without a harbor, though, the best its defenders could do about an invading fleet would be to send a messenger."
90,8f6889082cc9d91,Hebtesh,Town,Dinn,10,Several bridges cross the Hebet river within these walls.
91,8f6889082cc9da2,Yumesh,Town,Dinn,10,"North of Tesh Keep, the people keep to themselves. The accents here are so thick, they might as well be a language to itself."
92,8f6889082cca966,Seblen,Town,Delisgar,10,The westward road out of the Copper Coast crosses the river Bria here. Travelers are discouraged from going farther.
93,8f6889082ccaa60,Jerboon,City,Boonan,15,"If the Boonan Free State can be said to have a capital, this is it. Half-trolls mingle with mountain men in the bazaars, while nomad chieftains debate bearded sages in the scholar-temples. When the tribal moot meets, it does so either here or in Bemm."
94,8f6889082ccaa96,Sooari Fortress,Fortress,Boonan,20,"The road leads south along the Upper Soo River, away from the lands of the Copper Coast. If an attack ever comes from those unknown lands, Sooari will blunt it."
95,8f6889082ccaaa1,Taree,Town,Boonan,10,"Many strange folk can be found in Taree, whether strangers from the distant south or wanderers unkown elsewhere in the Free State."
96,8f6889082ccab16,Hoonan Pass,Fortress,Boonan,20,The sharp border between Boonan and Delisgrene culture is often shocking to travelers. Rushkegal is Delisgar thorugh and through; Hoonan Pass is Boonan to the core.
97,8f6889082ccab19,Padoo,Town,Boonan,10,"A small hill-town, Padoo's population waxes and wanes with the movement of herdsmen and their goats."
98,8f6889082ccb10c,Drover's Guard,Fortress,Boonan,20,"The Umabey valley has few permanent settlements, relative to its population. Drover's Guard is a beacon of order, an anchor to prevent rampant banditry."
99,8f6889082ccb120,Dumba,Town,Boonan,10,"The Umabey River is wide, but Dumba has long bridges."
100,8f6889082ccb183,Merewey,Town,Boonan,10,Travelers debate endlessly whether the better road between Bemm and Jerboon is north through Cua or south through Sandpass Hold. Those who prefer the southerly route must make Merewey a stopping point.
101,8f6889082ccb869,Karang,Town,Boonan,10,"Just north of Bemm, Karang sees its fortunes wax and wane with relations between the Free State and the Sultanate. When trade is rich, so is the city. When only cold letters pass between Lamm and Bemm, the people of Karang must tighten their belts."
102,8f6889082ccb8aa,Joa,Town,Boonan,10,"The mountain men call them soft, while the lowlanders call them hard. Joa is a transitional town, caught between worlds."
103,8f6889082ccb925,Lakavos,Town,Dinn,10,Lakavos welcomes foot traffic from the eastern road and barges up the river Kavv from Orbost alike. It is a place to buy and sell.
104,8f6889082ccb98d,Keep Cuaba,Fortress,Boonan,20,"The highest fortress east of Brialgon, or so its defenders claim. Keep Cuaba's garrison has a delicate relationship with the local mountain men."
105,8f6889082ccb9aa,Cua,Town,Boonan,10,"More a gathering-place with walls than a town. The mountain men are famously wary of permanent settlements. Visit Cua twice in a year, and you'll find the occupants have completely changed."
106,8f6889082ccba33,Lugana,Town,Boonan,10,"The Goolang river is long, and many bridges cross it. Lugana has a friendly rivalry with Kuragang, the two ends of the forest road."
107,8f6889082ccba95,Talum,Town,Boonan,10,"South of the Sapphire Dome, the Goolang River splits. Talum straddles the fork with bridges and ferries, a popular market for local farmers."
108,8f6889082ccbb49,Kuragang,Town,Boonan,10,"The northeastern end of the forest road, in a generations-long rivalry with Lugana to the southwest. The two towns have friendly competitions each year in sports and hunting."
109,8f6889082ccbb98,The Sapphire Dome,Fortress,Boonan,20,"A gorgous work of architecture, from an age when the sages of Orthopraxy considered construction the height of right-doing."
110,8f6889082ccbba4,Bemm,City,Boonan,15,"Bears a Dinn name, linked to the Dinn by roads and waterways, yet the city refuses the Sultan's yoke. Instead, the people of Bemm insist that they are of the Boonan Free State."
111,8f6889082ccbce4,Sandpass Hold,Fortress,Boonan,20,"An arid place, guarding the southerly road between Jerboon and Bemm."
112,8f6889082ccbd84,Fort Droogama,Fortress,Boonan,20,"The last fortress on the road to Jerboon from the southeast. If Fort Droogama falls under siege, the Free State's enemies are near indeed."
113,8f6889082ccbd88,Lebooni,Town,Boonan,10,"The river Orr tumbles out of the hills, slowing from rapids to a pleasant crawl under the walls of Lebooni."
114,8f6889082ccbda1,Deiri,Town,Boonan,10,"The first stop out of Jerboon, or the last stop for those headed to the city."
115,8f6889082ccc619,Ft. Rulk,Fortress,Allakia,20,The northern road from Port Yarbalk is protected by this fortress' defenders.
116,8f6889082ccc622,Ilkin,Town,Allakia,10,Northernmost town of Allakia. The people here are cold-eyed and cold-blooded.
117,8f6889082ccc695,Leyke,Town,Allakia,10,"After Leyke, the road vanishes west into the forest. What lies beyond, none care to speculate."
118,8f6889082ccc6ab,Port Yarbalk,City,Allakia,15,"Foreigners call it a nest of pirates, a den of thieves, a home to unwashed sailors and cursing fishwives. Natives say the same, but with pride."
119,8f6889082ccc6dc,The Silverfort,Fortress,Allakia,20,"The land around it is eerily flat, allowing the garrison to see for leagues in every direction."
120,8f6889082cce24a,Briarm,Town,Delisgar,10,A confluence of roads and rivers. The lord mayor is often a second son of high nobility.
121,8f6889082cce264,Touk,Town,Allakia,10,"At the headwaters of the Ouk, this settlement marks the southern border of Allakia. Men of Port Yarbalk have been known to deride Toukmen as soft, and to get a bloody nose for their trouble."
122,8f6889082cce26e,Myall Keep,Fortress,Delisgar,20,"For generations, there was no need to man this stronghold. Now that Allakia's loyalty is in question, the Queen has once again filled it with warriors."
123,8f6889082ccea4c,Craugh,Town,Allakia,10,"The headwaters of the Keff River flow fast, and the folk of Craugh are just as quick to anger and to forgive. "
